Product Name,Product Description,Product Categories,Product Price,Product Price per person,Minimum Price Per Person,Product Sub-category,Vegan,Gluten Free,Halal,Kind
Beef Onsen Egg Poke Bowl (Large),,Hawaiian,19,,,Large-Poke-Bowls,FALSE,FALSE,FALSE,Individual
Beef Onsen Egg Poke Bowl (Regular),,Hawaiian,16,,,Regular-Poke-Bowls,FALSE,FALSE,FALSE,Individual
Beef Pad Kee Mao,"Fresh rice noodle wok fried with sprouts, peppers, cabbage, tomatoes and basil in fresh garlic chili sauce",Thai,18,,,Individually-Packed-Noodles,FALSE,FALSE,FALSE,Individual
Beef Pad Mee,"Brown rice vermicelli wok fried with peppers, cabbage, onions, tomatoes, sprouts and egg in thai style garlic sauce",Thai,18,,,Individually-Packed-Noodles,FALSE,FALSE,FALSE,Individual
Beef Pad See-Ew,"Fresh rice noodle wok fried with gai lan, sprouts, cabbage, carrots, and egg",Thai,18,,,Individually-Packed-Noodles,FALSE,FALSE,FALSE,Individual
Beef Pad Thai,"Rice noodle wok fried with sprouts, egg, green onions, tofu, prawns topped with crushed peanuts, and cilantro",Thai,18,,,Individually-Packed-Noodles,FALSE,FALSE,FALSE,Individual
"Beef Panang Curry with Rice, Salad & Spring Roll",,Thai,19,,,Individually-Packed-Combos,FALSE,FALSE,FALSE,Individual
"Beef Red Curry with Rice, Salad & Spring Roll",,Thai,19,,,Individually-Packed-Combos,FALSE,FALSE,FALSE,Individual
Beef Rolls,Spiced beef rolled in flatbread & sweet hoisin sauce,Chinese,100,5,,Appetizer-Platter,FALSE,FALSE,FALSE,Platter
Beef Teriyaki Rice Bowl,,Japanese,17,,,Individually-Packed-Bowls,FALSE,FALSE,FALSE,Individual
Beef with Mix Vegetables,Beef stir-fried with minced garlic and vegetables,Chinese,200,10,,Main-Platter,FALSE,FALSE,FALSE,Platter
Beef with Mix Vegetables with Chowmein,,Chinese,20,,,Individually-Packed-Chowmein-Combo,FALSE,FALSE,FALSE,Platter
